order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,order_status,payment_date
1,5377,2024-04-11,853,2,439.27,878.54,Delivered,2024-04-23
2,2606,2025-08-10,578,1,218.41,218.41,Delivered,2025-08-21
3,2558,2024-10-02,815,2,144.5,289,Delivered,2024-10-02
4,1341,2024-07-04,882,5,480.14,2400.7,Shipped,2024-07-14
5,6372,2022-09-07,419,4,329.48,1317.92,Shipped,2022-09-15
6,20000,2022-07-18,278,5,141.95,709.75,Pending,2022-07-18
7,5399,2023-03-05,914,2,135.01,270.02,Returned,2023-03-17
8,4544,2024-06-22,135,3,434.67,1304.01,Shipped,2024-06-30
9,2272,2023-09-16,318,1,140.35,140.35,Shipped,2023-09-23
10,3537,2021-04-03,178,5,6.79,33.95,Returned,2021-04-11
11,7689,2022-04-17,229,5,193.19,965.95,Shipped,2022-04-20
12,8959,2021-08-23,422,5,267.86,1339.3,Pending,2021-08-30
13,4076,2023-08-05,220,3,160.72,482.16,Cancelled,2023-08-16
14,6727,2024-11-13,613,5,229.89,1149.45,Shipped,2024-11-15
15,3892,2025-10-30,379,2,413.22,826.44,Cancelled,2025-11-12
16,1078,2025-02-09,190,3,346.63,1039.89,Shipped,2025-02-14
17,6543,2023-10-10,48,1,243.75,243.75,Pending,2023-10-22
18,4144,2024-03-07,326,1,272.65,272.65,Pending,2024-03-11
19,4753,2025-12-04,936,5,372.17,1860.85,Delivered,2025-12-15
20,1705,2024-11-30,2,5,268.64,1343.2,Returned,2024-12-01
21,4361,2025-09-27,634,2,371.66,743.32,Delivered,2025-10-10
22,7014,2024-11-01,229,1,197.34,197.34,Returned,2024-11-01
23,2442,2024-04-03,505,1,334.93,334.93,Shipped,2024-04-15
24,8023,2022-01-18,623,2,373.5,747,Delivered,2022-01-21
25,4046,2025-06-11,901,4,218.65,874.6,Cancelled,2025-06-23
26,918,2020-10-23,256,3,396.42,1189.26,Pending,2020-11-01
27,7215,2025-07-29,754,4,105.31,421.24,Delivered,2025-07-30
28,3233,2025-06-17,431,4,349.11,1396.44,Delivered,2025-06-20
29,9668,2022-12-16,14,4,59.41,237.64,Cancelled,2022-12-21
30,9358,2023-07-07,617,1,94.1,94.1,Cancelled,2023-07-04
31,2269,2023-12-23,410,3,191.24,573.72,Shipped,2023-12-29
32,4984,2023-03-20,59,1,366.56,366.56,Shipped,2023-03-24
33,5374,2025-02-09,402,2,425.98,851.96,Pending,2025-02-14
34,6659,2025-10-01,743,1,209.61,209.61,Delivered,2025-10-01
35,8034,2025-04-08,335,1,182.91,182.91,Cancelled,2025-04-21
36,588,2024-05-30,456,2,369.5,739,Pending,2024-06-05
37,897,2022-08-28,366,3,362.41,1087.23,Pending,2022-09-07
38,9113,2022-10-01,49,1,131.28,131.28,Shipped,2022-10-11
39,4171,2022-11-09,612,2,263.63,527.26,Shipped,2022-11-22
40,8482,2023-06-08,886,3,396.56,1189.68,Shipped,2023-06-21
41,7723,2023-11-18,447,4,125.83,503.32,Pending,2023-11-18
42,5993,2025-07-07,90,4,169.4,677.6,Cancelled,2025-07-10
43,1836,2021-01-17,504,3,462.62,1387.86,Cancelled,2021-01-19
44,5964,2024-02-14,614,4,500.56,2002.24,Pending,2024-02-14
45,1511,2025-05-01,533,2,279.08,558.16,Pending,2025-05-10
46,6258,2024-11-12,803,1,358.21,358.21,Cancelled,2024-11-14
47,3657,2022-10-18,682,4,414.9,1659.6,Shipped,2022-10-26
48,4258,2025-06-25,2,3,262.61,787.83,Delivered,2025-06-30
49,8570,2023-03-08,401,2,440.14,880.28,Delivered,2023-03-16
50,3957,2024-07-27,678,2,271.02,542.04,Returned,2024-08-03
51,4008,2025-09-25,811,3,487.2,1461.6,Shipped,2025-09-27
52,9843,2024-10-21,926,3,498.25,1494.75,Pending,2024-10-21
53,6993,2025-08-03,728,2,507.65,1015.3,Pending,2025-08-05
54,3910,2023-09-17,364,5,221.76,1108.8,Cancelled,2023-09-26
55,8849,2025-06-30,457,3,172.78,518.34,Delivered,2025-07-03
56,9587,2022-03-02,867,4,279.67,1118.68,Returned,2022-03-04
57,1012,2023-09-09,125,1,469.98,469.98,Cancelled,2023-09-18
58,9334,2022-01-12,107,1,62.86,62.86,Returned,2022-01-16
59,,2024-08-23,902,3,216.93,650.79,Returned,2024-08-27
60,324,2025-09-13,866,3,244.2,732.6,Returned,2025-09-15
61,8580,2024-11-09,195,3,157.07,471.21,Delivered,2024-11-13
62,5507,2024-12-08,731,3,110.05,330.15,Returned,2024-12-08
63,8044,2024-04-01,640,1,19.38,19.38,Returned,2024-04-09
64,2246,2024-09-09,675,1,347.7,347.7,Returned,2024-09-11
65,3115,2023-06-19,246,2,145.6,291.2,Delivered,2023-06-27
66,9780,2023-09-19,92,3,37.26,111.78,Shipped,2023-09-29
67,1531,2025-02-08,210,2,112.95,225.9,Delivered,2025-02-08
68,1033,2025-06-30,881,5,316.4,1582,Pending,2025-07-10
69,329,2025-11-19,194,2,471.19,942.38,Cancelled,2025-11-29
70,6518,2021-10-21,939,1,152.08,152.08,Returned,2021-10-24
71,5676,2025-05-06,609,4,134.13,536.52,Cancelled,2025-05-07
72,3623,2023-09-02,294,4,257.01,1028.04,Returned,2023-09-15
73,9689,2025-07-04,543,1,377.57,377.57,Pending,2025-07-14
74,9912,2025-09-07,773,4,190.63,762.52,Pending,2025-09-20
75,1647,2024-09-14,370,2,65.82,131.64,Delivered,2024-09-18
76,3492,2025-12-10,102,1,239.71,239.71,Shipped,2025-12-15
77,4453,2025-05-05,163,2,140.18,280.36,Pending,2025-05-14
78,4276,2023-11-19,828,2,310.23,620.46,Cancelled,2023-12-01
79,2719,2024-09-29,634,1,366.3,366.3,Delivered,2024-10-10
80,530,2023-02-11,425,3,9.89,29.67,Returned,2023-02-23
81,1472,2024-09-14,711,1,358.68,358.68,Returned,2024-09-25
82,7062,2022-10-28,327,1,64.8,64.8,Pending,2022-11-07
83,4329,2022-09-24,260,1,100.48,100.48,Shipped,2022-09-25
84,3149,2024-09-04,839,3,371.43,1114.29,Pending,2024-09-08
85,4212,2025-11-26,932,2,122.4,244.8,Cancelled,2025-12-08
86,8384,2021-10-06,199,4,136.23,544.92,Shipped,2021-10-08
87,5578,2025-04-20,914,1,130.39,130.39,Pending,2025-04-28
88,6458,2024-08-20,971,5,68.23,341.15,Pending,2024-08-28
89,6330,2022-05-27,812,1,71.41,71.41,Returned,2022-06-08
90,5267,2022-11-27,505,3,331.64,994.92,Shipped,2022-12-08
91,1757,2025-05-23,857,1,156.86,156.86,Pending,2025-05-25
92,4187,2023-01-29,202,1,70.78,70.78,Cancelled,2023-02-10
93,2180,2023-07-02,273,3,158.56,475.68,Returned,2023-07-04
94,3209,2025-12-03,46,4,25.39,101.56,Returned,2025-12-13
95,9883,2024-06-13,159,4,187.97,751.88,Cancelled,2024-06-19
96,7217,2023-09-26,80,2,412.42,824.84,Delivered,2023-10-07
97,9339,2022-09-06,823,2,218.38,436.76,Shipped,2022-09-12
98,7316,2022-02-07,556,3,210.15,630.45,Returned,2022-02-14
99,8976,2025-05-19,434,1,450.48,450.48,Returned,2025-05-26
100,3736,2021-06-16,857,2,151.17,302.34,Pending,2021-06-22
101,6448,2024-01-23,639,5,182.44,912.2,Returned,2024-01-24
102,660,2025-06-22,90,3,156.3,468.9,Pending,2025-06-24
103,9109,2023-12-11,81,2,459.24,918.48,Delivered,2023-12-11
104,4425,2020-11-25,941,2,12.14,24.28,Cancelled,2020-12-05
105,6647,2025-04-21,20,3,102.32,306.96,Shipped,2025-04-22
106,1292,2024-01-03,802,3,264.17,792.51,Cancelled,2024-01-16
107,2223,2024-07-12,41,1,176.59,176.59,Cancelled,2024-07-23
108,1720,2025-06-12,617,2,94.44,188.88,Delivered,2025-06-25
109,6685,2023-09-02,724,2,11.93,23.86,Returned,2023-09-06
110,5513,2025-02-17,935,3,315.06,945.18,Pending,2025-02-18
111,1648,2024-06-12,673,1,234.98,234.98,Cancelled,2024-06-19
112,7162,2023-07-15,323,2,11.55,23.1,Shipped,2023-07-23
113,9318,2025-10-04,522,4,312.36,1249.44,Pending,2025-10-04
114,8377,2023-06-14,160,2,368.4,736.8,Returned,2023-06-18
115,5173,2025-07-10,7,1,410.63,410.63,Returned,2025-07-20
116,6078,2025-02-13,172,4,415.33,1661.32,Cancelled,2025-02-20
117,8426,2024-08-19,879,3,271.38,814.14,Pending,2024-08-20
118,4754,2022-08-19,228,3,370.72,1112.16,Returned,2022-08-31
119,17,2023-03-20,715,5,245.63,1228.15,Returned,2023-03-26
120,1950,2025-01-15,611,2,29.73,59.46,Pending,2025-01-27
121,4975,2025-01-24,902,3,207.24,621.72,Pending,2025-01-24
122,1068,2023-12-03,814,2,316.39,632.78,Returned,2023-12-07
123,3100,2024-06-16,386,1,107.21,107.21,Cancelled,2024-06-16
124,6283,2023-01-12,96,3,211.82,635.46,Cancelled,2023-01-14
125,3793,2025-02-15,87,5,363.19,1815.95,Cancelled,2025-02-19
126,8315,2025-03-04,325,1,139.81,139.81,Returned,2025-03-05
127,8919,2023-10-07,654,3,200.75,602.25,Returned,2023-10-18
128,3035,2024-07-22,866,4,249.76,999.04,Shipped,2024-07-25
129,6584,2021-11-29,587,4,110.06,440.24,Shipped,2021-12-02
130,9281,2025-05-05,468,5,153.25,766.25,Cancelled,2025-05-09
